n,T(n),T(n)/g_1(n),T(n)/g_2(n),T(n)/g_3(n)
7500,0.027325153350830078,3.1552369285499104e-05,2.428902520073785e-10,8.166520912954554e-08
10000,0.04128289222717285,4.128289222717285e-05,2.0641446113586426e-10,8.964466145633906e-08
12500,0.05346107482910156,4.7817038987229616e-05,1.71075439453125e-10,9.067458048598339e-08
15000,0.0698249340057373,5.7011819879188616e-05,1.5516652001274957e-10,9.681967069786553e-08
17500,0.08463716506958008,6.39796829850376e-05,1.3818312664421236e-10,9.900575505942066e-08
20000,0.10247182846069336,7.245852478514092e-05,1.280897855758667e-10,1.0347044706937803e-07
22500,0.11941790580749512,7.961193720499675e-05,1.1794361067406926e-10,1.0592394314921693e-07
25000,0.13778996467590332,8.714602541799984e-05,1.1023197174072266e-10,1.088535472560172e-07
27500,0.16516423225402832,9.959777948613222e-05,1.0919949239935756e-10,1.1751137900916103e-07
30000,0.18361592292785645,0.0001060107025298995,1.0200884607103135e-10,1.1874204811566878e-07
32500,0.21002507209777832,0.00011650094870485552,9.94201524723211e-11,1.24406830142754e-07
35000,0.23034095764160156,0.00012312242080518316,9.401671740473533e-11,1.257976721471409e-07
37500,0.26320505142211914,0.00013591850410607124,9.358401828342014e-11,1.3328403444106642e-07
40000,0.2877671718597412,0.0001438835859298706,8.992724120616913e-11,1.3578233991635513e-07
42500,0.3212721347808838,0.0001558398760316773,8.893346291512354e-11,1.418628203751275e-07
45000,0.3433339595794678,0.00016184918068684647,8.47738171801155e-11,1.4241825754566895e-07
47500,0.38228392601013184,0.0001754038948650679,8.471665950363032e-11,1.4947474338872417e-07
50000,0.43004798889160156,0.0001923233073497391,8.600959777832031e-11,1.589858784856018e-07
52500,0.44762206077575684,0.00019535828345114563,8.120128086635045e-11,1.5689526235777584e-07
55000,0.5061829090118408,0.00021583711761658246,8.366659653088278e-11,1.686349249219636e-07
57500,0.525001049041748,0.00021894057224057932,7.939524371141748e-11,1.6662109610215056e-07
60000,0.5551149845123291,0.00022662474343803211,7.709930340449016e-11,1.6818455644056666e-07
62500,0.6045651435852051,0.00024182605743408204,7.738433837890625e-11,1.751899079113361e-07
65000,0.642646074295044,0.00025206652870494057,7.605278985740166e-11,1.784287223856979e-07
67500,0.6855809688568115,0.00026388023794717637,7.52352229198147e-11,1.8267737541211319e-07
70000,0.7380070686340332,0.0002789404527733469,7.530684373816665e-11,1.8900540290786767e-07
72500,0.7701659202575684,0.000286032442029339,7.326191869275324e-11,1.8984279743257765e-07
75000,0.8363142013549805,0.00030537876882936023,7.43390401204427e-11,1.986746412197776e-07
77500,0.858098030090332,0.00030823791172590934,7.143375900856043e-11,1.9669923572864608e-07
80000,0.9327149391174316,0.0003297645291819669,7.286835461854935e-11,2.0653962721574545e-07
82500,0.9903581142425537,0.0003447984381680979,7.275358047695528e-11,2.1208045528880521e-07
85000,1.0341081619262695,0.0003546961733093513,7.156457868001866e-11,2.143707952236227e-07
87500,1.080078125,0.0003651330491131794,7.053571428571429e-11,2.1694916129142377e-07
90000,1.1445629596710205,0.0003815209865570068,7.065203454759386e-11,2.2296373108677221e-07
92500,1.21272611618042,0.0003987418907576402,7.086785193165346e-11,2.2930640962341466e-07
95000,1.2291169166564941,0.000398778185911755,6.809512003637086e-11,2.2576318301536852e-07
97500,1.2927298545837402,0.0004140048899664261,6.799368071446365e-11,2.308360127751644e-07
100000,1.3874449729919434,0.00043874862428053426,6.937224864959717e-11,2.410238782859229e-07
102500,1.415964126586914,0.00044227288869678555,6.738675200889537e-11,2.394650970236364e-07
105000,1.4780428409576416,0.00045613392349450304,6.70314213586232e-11,2.435036276075292e-07
107500,1.5452649593353271,0.00047130139416741575,6.685840819190166e-11,2.4815282479526693e-07
110000,1.6306569576263428,0.0004916615718390039,6.738251891017945e-11,2.554075333043842e-07
112500,1.6775670051574707,0.0005001538480457126,6.627425205560378e-11,2.564195760164993e-07
115000,1.7649528980255127,0.0005204562156122726,6.672789784595511e-11,2.6341419739613505e-07
117500,1.8204939365386963,0.000531092665150371,6.593006560574726e-11,2.65432730200277e-07
120000,1.8956339359283447,0.0005472223815966099,6.582062277528975e-11,2.701430664383971e-07
122500,1.958327054977417,0.0005595220157078334,6.525038084056367e-11,2.729007464638395e-07
125000,2.031515121459961,0.0005745992473869404,6.500848388671875e-11,2.769602146873707e-07
127500,2.095099925994873,0.0005867453400838356,6.443982855808913e-11,2.795565787124876e-07
130000,2.2095561027526855,0.0006128206018837836,6.537148232996111e-11,2.8868224555526907e-07
132500,2.251534938812256,0.000618544217890857,6.412345856353879e-11,2.881504095990214e-07
135000,2.345475912094116,0.0006383576876243952,6.43477616486726e-11,2.9414799692696756e-07
137500,2.4038078784942627,0.0006482587764275559,6.357177860480695e-11,2.955232661649661e-07
140000,2.5038599967956543,0.0006691847323184455,6.387397951009323e-11,3.0186706047386837e-07
142500,2.5622270107269287,0.000678750516370772,6.308961553036451e-11,3.0303181989483897e-07
145000,2.6820180416107178,0.0007043324438186446,6.378164189323942e-11,3.1127423510979513e-07
147500,2.744638204574585,0.0007146429177798578,6.307700556333433e-11,3.1269312544690653e-07
150000,2.8064160346984863,0.0007246135043277797,6.236480077107747e-11,3.1395917286994556e-07
152500,2.906064987182617,0.0007441669876821872,6.247922573894367e-11,3.1933459210308356e-07
155000,2.9994070529937744,0.0007618501533109529,6.242262337135847e-11,3.23834342786048e-07
157500,3.087548017501831,0.0007779889728838426,6.223326817841937e-11,3.276206803693758e-07
160000,3.193692922592163,0.0007984232306480407,6.237681489437819e-11,3.331502775199727e-07
162500,3.2648298740386963,0.0008099046138106172,6.181926388712324e-11,3.348980703263277e-07
165000,3.3321359157562256,0.0008203151560324362,6.119625189634941e-11,3.361955410941882e-07
167500,3.4789209365844727,0.000850035675564084,6.199903651743323e-11,3.453342511094732e-07
170000,3.6086740493774414,0.0008752320161181525,6.24338070826547e-11,3.5251213900170545e-07
172500,3.6926498413085938,0.0008890856025859306,6.204830651222169e-11,3.5505714029213045e-07
175000,3.7702529430389404,0.0009012628363894675,6.155515009043169e-11,3.569141257059817e-07
177500,3.856765031814575,0.0009154275999441942,6.120634845172902e-11,3.595391159175741e-07
180000,3.9676010608673096,0.0009351725383940716,6.122841143313749e-11,3.6431290785796133e-07
182500,4.096271991729736,0.0009588647462788541,6.149404378652259e-11,3.7055290570473167e-07
185000,4.167418003082275,0.0009689050050335942,6.088265892012089e-11,3.7147720048347656e-07
187500,4.2879250049591064,0.000990253862351227,6.098382229275173e-11,3.7670582853014797e-07
190000,4.3822340965271,0.0010053534512473629,6.069576310979362e-11,3.7951145496612215e-07
192500,4.477088928222656,0.001020423270242633,6.040936317385942e-11,3.822795659620581e-07
195000,4.5629589557647705,0.0010333067266713712,5.999946029933952e-11,3.8420918619287934e-07
197500,4.706594944000244,0.0010590666052108545,6.033129234417875e-11,3.9087829531175156e-07
200000,4.8053879737854,0.0010745174167644132,6.006734967231751e-11,3.936882987129459e-07
202500,4.890803098678589,0.0010868451330396864,5.963484954950268e-11,3.9533696646518996e-07
205000,5.024007081985474,0.001109617538148985,5.977402834010082e-11,4.0074927614475836e-07
207500,5.151639938354492,0.0011309318911336297,5.982453114651755e-11,4.055772335256106e-07
210000,5.268763065338135,0.001149738360271408,5.973654269090855e-11,4.0945946633239525e-07
212500,5.417747974395752,0.0011752745484317675,5.998890490680417e-11,4.1568295083402875e-07
215000,5.512639999389648,0.0011888865176127737,5.962833963644833e-11,4.176472507820032e-07
217500,5.626543998718262,0.0012064576697684436,5.946935128781357e-11,4.2098070566563557e-07
220000,5.776047945022583,0.0012314575595831663,5.966991678742338e-11,4.2685873221334156e-07
222500,5.911545991897583,0.0012532452437943064,5.9705047260675e-11,4.3156714694252725e-07
225000,5.982432126998901,0.0012612074312454817,5.908574940245829e-11,4.3149786753338936e-07
227500,6.113828897476196,0.001281806825507316,5.906367730927373e-11,4.3573861409588906e-07
230000,6.2540810108184814,0.0013040660374362934,5.911229688864349e-11,4.4049928540942005e-07
232500,6.462556838989258,0.0013402718532963224,5.97762223516176e-11,4.4989464793633217e-07
235000,6.542536973953247,0.0013496223278738186,5.923528269763013e-11,4.5022747142796955e-07
237500,6.675246000289917,0.001369731578228093,5.917115568124026e-11,4.5413595108126656e-07
240000,6.767805814743042,0.0013814725770301191,5.874831436408891e-11,4.5525175312022855e-07
242500,6.915149927139282,0.001404254191968979,5.879604571911389e-11,4.5998291922717855e-07
245000,7.091966867446899,0.0014327936754062914,5.907510926652977e-11,4.6654479931108993e-07
247500,7.177925109863281,0.0014428172341022464,5.858932851638226e-11,4.6704775409602706e-07
250000,7.367522954940796,0.0014735045909881593,5.894018363952637e-11,4.742067617625842e-07