Array Size,Insertion Sort Time (ms),QuickSort Time (ms)
10000,3889.58,28.40
15000,8762.78,49.32
20000,15584.80,62.85
25000,24452.66,81.93
30000,35692.38,98.27
35000,47862.62,115.39
40000,62446.72,137.04
45000,79027.62,147.47
50000,97395.06,170.19
55000,117970.29,191.43
60000,140550.73,216.22
65000,165407.93,218.94
70000,190960.13,251.61
75000,219304.81,265.53
80000,282077.14,288.79
85000,281340.84,306.38
90000,316961.70,337.71
95000,358476.96,357.65
100000,396064.13,382.38
105000,435201.78,408.14
110000,475839.54,435.00
115000,517927.07,463.04
120000,561413.98,492.32
125000,606249.92,522.92
130000,652384.53,554.89
135000,699767.45,588.31
140000,748348.31,623.25
145000,798076.76,659.78
150000,848902.42,697.96
155000,900774.95,737.87
160000,953643.97,779.57
165000,1007459.12,823.14
170000,1062170.05,868.64
175000,1117726.39,916.13
180000,1174077.78,965.70
185000,1231173.85,1017.40
190000,1288964.25,1071.31
195000,1347398.62,1127.50
200000,1406426.58,1186.03