i,TimeRecursive
1,318.725
2,633.72
3,1025.225
4,363.375
5,437.05
6,613.015
7,578.83
8,628.58
9,709.28
10,1039.565
11,658.375
12,700.895
13,764.825
14,1083.67
15,864.59
16,942.74
17,961.415
18,1060.9
19,1076.755
20,1109.235
21,1408.08
22,1207.86
23,1271.065
24,1539.175
25,1359.74
26,1413.53
27,1466.81
28,1491.765
29,1786.045
30,1590.045
31,1655.825
32,1753.715
33,1756.705
34,2056.73
35,1859.17
36,1937.52
37,1979.275
38,2067.285
39,2081.935
40,2165.775
41,2180.445
42,2461.495
43,2289.835
44,2384.63
45,2383.235
46,2428.995
47,2521.285
48,2542.755
49,2799.8
50,2643.865
52,2789.345
53,2781.815
54,2853.775
55,3098.875
56,2941.92
57,3006.465
58,3267.595
59,3079.545
60,3133.275
61,3403.7
62,3461.905
63,3264.075
64,3362.94
65,3442.565
66,3508.93
67,3552.325
68,3577.81
69,2641.265
70,24790.03
71,24241.09
72,24951.72
73,8528.865
74,861.83
75,868.49
76,916.955
77,891.055
78,899.64
79,906.905
80,948.76
81,929.485
82,938.39
83,945.84
84,987.05
85,968.26
86,976.955
87,1022.81
88,1005.68
89,1007.985
90,1015.61
91,1057.18
92,1033.115
93,1045.955
94,1084.98
95,1062.54
96,1071.795
97,1084.885
98,1126.435
99,1101.88
100,1111.715
101,1165.51
102,1132.19
103,1140.28
104,1180.73
105,1162.915
106,1171.295
107,1179.815
108,1189.61
109,1201.535
110,1210.155
111,1246.47
112,1227.17
113,1241.995
114,1285.595
115,1257.145
116,1265.965
117,1310.785
118,1288.275
119,1295.555
120,1336.43
121,1318.21
122,1326.69
123,1367.93
124,1343.88
125,1357.305
126,1366.105
127,1373.37
128,1413.655
129,1469.79
130,1405.475
131,1413.16
132,1467.275
133,1435.43
134,1497.2
135,1450.935
136,1459.875
137,1503.63
138,1482.665
139,1489.715
140,1539.965
141,1512.435
142,1521.395
143,1578.17
144,1537.9
145,1555.36
146,1559.78
147,1567.255
148,1609.655
149,1589.885
150,1627.555
151,1606.25
152,1615.34
153,1656.835
154,1637.71
155,1674.56
156,1654.38
157,1667.4
158,1706.54
159,1683.915
160,1725.11
161,1706.515
162,1715.005
163,1725.295
164,1732.38
165,1748.32
166,1754.425
167,1793.35
168,1770.775
169,1784.115
170,1824.55
171,1800.595
172,1836.305
173,1824.675
174,1833.315
175,1839.88
176,1877.12
177,1861.95
178,1870.905
179,1909.195
180,1887.64
181,1930.33
182,1909.44
183,1944.7
184,1926.75
185,1968.84
186,1948.385
187,1955.915
188,1965.935
189,1978.61
190,2015.595
191,1995.075
192,2029.31
193,2017.335
194,2052.47
195,2034.155
196,2070.68
197,2056.185
198,2092.2
199,2072.73
200,2110.48